TYPE,ADDRESS,CITY,DATE,TIME
Larceny,100  Walter Dr,Syracuse,12/9/17,1:11 AM
Burglary,100  Temple Pl,Syracuse,10/11/17,1:12 AM
Burglary,100  Lillian Av,Syracuse,6/8/17,1:13 AM
Robbery,600  John St,Syracuse,7/27/17,1:14 AM
Vehicle theft,5800  Bridge St,East Syracuse,6/12/17,1:14 AM
Aggravated assault,4300  Plantation Blvd,Liverpool,3/13/18,1:15 AM
Aggravated assault,200  W  Glen Av,Syracuse,11/18/17,1:15 AM
Aggravated assault,1400  S  Salina St,Syracuse,6/18/17,1:15 AM
Burglary,0  Presidential Ct,Syracuse,9/11/17,1:15 AM
Larceny,300  N  Midler Av,Syracuse,1/26/18,1:15 AM
Larceny,200  Strong Av,Syracuse,10/24/17,1:15 AM
Vehicle theft,6100  Route 20,La Fayette,7/2/17,1:15 AM
Vehicle theft,0  Mcharrie St,Baldwinsville,12/11/17,1:17 AM
Vehicle theft,0  Waterbury Dr,Syracuse,7/20/17,1:17 AM
Burglary,300  Spring St,Syracuse,6/12/17,1:18 AM
Larceny,100  Dickerson St,Syracuse,2/24/18,1:18 AM
Larceny,900  Eagle Ln,Camillus,6/18/17,1:18 AM
Vehicle theft,1100  First North St,Syracuse,2/5/18,1:18 AM
Burglary,200  Leonard Av,Syracuse,6/25/17,1:19 AM
Aggravated assault,1400  S  State St,Syracuse,11/26/17,1:20 AM
Aggravated assault,100  E Seneca St,Manlius,7/25/17,1:20 AM
Burglary,3000  Erie Blvd E,Syracuse,8/25/17,1:20 AM
Larceny,300  Allen St,Syracuse,12/20/17,1:20 AM
Larceny,200  W  Ostrander Av,Syracuse,12/8/17,1:20 AM
Larceny,800  N  Clinton St,Syracuse,7/23/17,1:20 AM
Larceny,400  Restoration Way,Syracuse,7/20/17,1:20 AM
Larceny,3400  Erie Blvd E,Syracuse,7/12/17,1:20 AM
Larceny,2500  Erie Blvd E,Syracuse,9/14/17,1:21 AM
Aggravated assault,100  Roney Ln,Syracuse,3/15/18,1:23 AM
Aggravated assault,100  W  Lynhurst Av,Syracuse,1/12/18,1:23 AM
Burglary,1300  Burnet Av,Syracuse,8/31/17,1:23 AM
Larceny,100  Eureka Dr,Manlius,1/25/18,1:23 AM
Larceny,100  Dablon Ct,Syracuse,11/13/17,1:24 AM
Larceny,200  Berkeley Dr,Syracuse,8/25/17,1:25 AM
Aggravated assault,300  W  Fayette St,Syracuse,3/18/18,1:26 AM
Aggravated assault,8200  Oswego Rd,Liverpool,11/26/17,1:26 AM
Robbery,7400  Van Buren Rd,Baldwinsville,7/20/17,1:26 AM
Burglary,200  Pulaski St,Syracuse,6/21/17,1:28 AM
Larceny,8000  Capri Cir,Clay,6/11/17,1:28 AM
Aggravated assault,300  Bruce St,Syracuse,12/23/17,1:29 AM
Aggravated assault,2700  James St,Syracuse,12/2/17,1:30 AM
Burglary,2200  Erie Blvd E,Syracuse,7/26/17,1:30 AM
Burglary,200  Ostrom Av,Syracuse,7/4/17,1:30 AM
Larceny,200  Westwood Av,Mattydale,2/17/18,1:30 AM
Larceny,700  S  Crouse Av,Syracuse,1/21/18,1:30 AM
Larceny,300  W  Fayette St,Syracuse,1/20/18,1:30 AM
Larceny,1300  E  Adams St,Syracuse,12/12/17,1:30 AM
Larceny,600  James St,Syracuse,12/9/17,1:30 AM
Larceny,200  Green St,Syracuse,11/6/17,1:30 AM
Larceny,200  Glenwood Av,Syracuse,9/1/17,1:30 AM
Larceny,500  Crossett St,Syracuse,7/17/17,1:30 AM
Larceny,300  N  Midler Av,Syracuse,7/3/17,1:30 AM
Larceny,800  Lancaster Av,Syracuse,6/30/17,1:30 AM
Larceny,1500  Burnet Av,Syracuse,6/21/17,1:30 AM
Robbery,700  James St,Syracuse,7/6/17,1:30 AM
Larceny,100  Ballantyne Rd,Syracuse,9/26/17,1:31 AM
Vehicle theft,700  Bear St,Syracuse,7/11/17,1:31 AM
Robbery,1000  S  Clinton St,Syracuse,6/15/17,1:32 AM
Larceny,4700  Onondaga Blvd,Syracuse,11/5/17,1:34 AM
Larceny,0  Presidential Plz,Syracuse,9/28/17,1:34 AM
Aggravated assault,800  Butternut St,Syracuse,10/29/17,1:35 AM
Aggravated assault,100  Cortland Av,Syracuse,10/21/17,1:35 AM
Larceny,100  Dickerson St,Syracuse,11/11/17,1:35 AM
Burglary,1000  W  Genesee St,Syracuse,7/13/17,1:36 AM
Larceny,200  South Av,Syracuse,1/14/18,1:36 AM
Robbery,900  James St,Syracuse,12/21/17,1:37 AM
Burglary,0  Stone Ct,Syracuse,11/22/17,1:39 AM
Aggravated assault,800  Highland St,Syracuse,12/19/17,1:40 AM
Larceny,8700  Dell Center Dr,Liverpool,7/13/17,1:40 AM
Larceny,1100  N  Salina St,Syracuse,6/26/17,1:40 AM
Aggravated assault,100  Blk Peters St,Syracuse,6/10/17,1:42 AM
Burglary,100  Kenmore Av,Syracuse,12/24/17,1:42 AM
Aggravated assault,1300  Buckley Rd,Syracuse,1/27/18,1:43 AM
Burglary,400  W  Seneca Tpke,Syracuse,9/22/17,1:43 AM
Robbery,0  Comstock Av,Syracuse,12/13/17,1:43 AM
Aggravated assault,1300  Butternut St,Syracuse,10/17/17,1:44 AM
Aggravated assault,800  Highland St,Syracuse,8/25/17,1:44 AM
Larceny,700  S  Geddes St,Syracuse,1/26/18,1:44 AM
Larceny,400  S Orchard Rd,Syracuse,8/16/17,1:44 AM
Larceny,400  S  Clinton St,Syracuse,3/4/18,1:45 AM
Larceny,5200  S  Salina St,Syracuse,7/15/17,1:45 AM
Robbery,2200  Brewerton Rd,Syracuse,9/16/17,1:45 AM
Vehicle theft,1300  Buckley Rd,Syracuse,1/27/18,1:45 AM
Aggravated assault,500  Helen St,Syracuse,12/23/17,1:46 AM
Burglary,700  Park Av,Syracuse,10/18/17,1:47 AM
Larceny,200  Ashworth Pl,Syracuse,8/20/17,1:47 AM
Larceny,100  Rita Dr,Syracuse,8/23/17,1:48 AM
Aggravated assault,400  Cortland Av,Syracuse,3/10/18,1:50 AM
Aggravated assault,1400  W  Genesee St,Syracuse,11/11/17,1:50 AM
Aggravated assault,2700  James St,Syracuse,6/24/17,1:50 AM
Larceny,600  N  Salina St,Syracuse,12/29/17,1:50 AM
Larceny,200  Glenwood Av,Syracuse,9/29/17,1:50 AM
